file	number Of Sets	Number Of Zones	Number Of Nodes
18788502	10	15	45
18836167	3	4	43
18846990	2	2	10
18886852	4	4	148
18895362	6	9	49
189111957	2	2	9
18917716	1	1	5
18923866	2	3	57
189253902	5	7	68
18951737	11	11	41
18957524	13	16	101
189592841	8	12	94
189875309	6	2	92
18988524	7	7	7
18996905	2	2	19
190138306	4	4	55
19064433	6	8	47
190696559	5	13	74
19110632	2	2	9
19136295	3	3	36
191896931	3	3	13
191916463	6	12	43
191924526	2	2	13
19208450	2	2	27
19213083	3	3	9
19225156	1	1	12
19283723	2	2	8
19299909	2	2	10
19380307	3	4	29
19454519	1	0	0
19492215	7	8	64
19563357	3	3	29
19658936	6	7	42
19668026	7	6	47
196926575	5	5	38
19725644	6	6	33
197577781	1	1	47
197602850	2	2	11
19760380	1	1	25
197731654	2	2	6
197903282	6	7	20
198327282	8	11	119
198370650	3	6	26
198628427	4	5	33
198941747	4	7	32
199039532	4	4	33
19933035	3	3	27
19948202	3	3	37
199483163	3	4	15
19976791	2	2	8
200214366	12	40	147
200494218	2	3	9
20060293	2	3	41
20119746	1	1	4
20179628	1	0	0
202114894	5	8	35
202195505	10	2	28
202346485	2	3	43
2029971	7	8	93
20319646	2	2	44
20347014	5	5	64
203868162	3	6	57
204145356	6	9	30
20436059	7	12	167
20446839	2	2	35
204646586	2	2	31
20495756	2	2	29
20561154	3	4	19
20689206	5	8	117
206923844	3	3	14
20758393	2	3	51
207594668	1	1	1
207936757	2	2	24
20950208	3	3	7
20999409	4	4	16
21028234	8	10	24
21061498	2	3	43
21077642	1	1	3
21094279	2	2	2
21132431	10	11	37
211547273	2	3	15
211933541	4	8	45
21222922	6	8	73
212642904	4	5	38
212718048	1	0	0
21318259	2	2	23
21337501	1	1	1
21339164	4	6	82
21363077	5	6	97
21364753	2	3	21
21391704	2	2	35
21415375	2	2	9
21420959	2	2	28
21437537	3	3	13
215328630	1	0	0
21578499	11	17	122
215824411	1	1	3
21648994	4	5	22
21731779	5	5	14
21735280	1	1	9
217796457	1	1	6
21816783	2	2	13
219365298	3	5	18
22106463	13	21	80
22121627	7	10	70
222090651	2	2	15
22252971	4	4	5
224581852	1	0	0
225302763	2	2	3
2257971	2	2	11
22745706	5	6	54
22751884	6	6	51
227650565	6	2	12
227785045	10	10	141
228270980	4	5	46
22863638	5	15	116
22879382	2	3	25
22915745	2	3	53
229425177	2	2	15
22958268	2	2	27
22970486	4	4	19
22977196	1	1	20
229969377	2	2	33
230880104	4	12	62
232006900	4	10	61
232706326	3	4	63
23334169	2	2	6
234169190	5	10	64
23469247	2	2	15
23503181	2	3	14
235219400	3	6	29
2363991	9	13	188
237019614	3	3	39
237049769	4	5	47
23742633	2	2	190
23759573	3	3	53
23790454	7	8	35
238264600	4	6	88
23889102	2	2	6
239141315	11	20	186
239434259	3	3	59
240740059	2	2	17
24117694	1	1	3
241635675	2	2	9
242013901	2	2	90
242024994	2	3	80
242073660	1	0	0
242479442	5	19	151
243267948	3	6	66
24479656	3	5	47
24541192	2	3	30
24542441	2	2	6
245639401	2	3	50
24636631	9	15	59
248224845	9	7	82
248523038	1	1	8
248883350	2	2	18
248916246	4	6	29
24903302	2	2	55
24907197	5	5	7
249829509	2	2	50
249831237	2	2	4
250340951	2	2	6
250447400	1	1	1
250900294	4	4	20
25179170	3	3	22
252415267	2	2	10
253360762	3	3	17
25344777	6	6	47
253751053	6	7	20
253863144	1	1	8
254883790	3	3	10
255790981	6	9	150
25649234	4	6	51
256497288	4	5	87
25650268	2	2	10
25755158	2	3	21
2576401	1	1	1
258145892	1	1	1
258447233	2	2	23
2589521	6	6	28
258955239	1	0	0
259288589	2	3	59
259365099	1	0	0
259884200	4	8	79
26083291	2	2	12
26103051	2	2	41
261973875	2	2	51
262310943	1	1	10
26234692	2	2	2
26286713	1	1	7
263224927	2	2	7
26335321	2	2	19
26346966	3	6	36
265077741	5	7	41
26585095	13	15	76
26604704	1	1	2
266464616	2	3	32
267383914	1	0	0
268425888	1	1	2
269485905	8	12	41
269559495	3	4	37
26961048	2	2	21
275686563	2	2	23
27595997	2	2	12
276128869	3	4	71
276843589	1	1	10
278311152	2	3	84
27853708	5	8	62
279854450	2	2	7
28205087	2	2	14
283732062	8	13	128
2841151	9	12	107
28490110	10	20	108
285287229	8	5	42
28628055	2	3	19
287519521	7	14	62
2890961	3	4	33
289738351	6	6	32
290092792	5	3	199
29016037	4	5	58
29034979	2	3	12
291403100	2	3	18
292560337	1	1	1
29357507	5	5	82
29514951	7	16	62
296218728	2	3	31
297985585	2	2	3
298038575	3	5	61
30031265	7	13	138
300842571	4	7	37
30096240	1	1	1
301297627	5	3	23
30207757	7	14	176
30310904	2	3	23
30313925	4	7	64
30345417	3	3	47
303886358	2	2	3
30393917	2	3	59
306445007	2	2	13
307478701	1	0	0
308220010	2	3	27
30824363	1	1	16
309096216	2	3	19
30970675	6	8	15
311227912	1	0	0
31153819	9	10	121
31179985	4	4	58
312284236	3	3	10
31246395	4	4	25
312805417	4	1	36
31313454	2	2	9
31317273	3	3	13
313359626	1	0	0
314038032	4	4	50
314316607	3	5	50
31457243	3	3	10
31464977	1	1	6
31477674	1	1	8
315418321	1	1	4
31610343	9	23	125
31631020	4	6	48
317313520	3	3	46
318760490	2	3	27
31949053	5	6	70
320527944	2	3	5
321620987	3	3	21
321652589	3	4	31
32289713	3	3	19
3245291	5	6	27
324544865	7	23	99
3253671	2	2	30
32547856	2	2	3
32574761	3	3	57
326259198	6	17	74
33060624	2	2	13
33080832	1	1	2
33097148	1	1	1
3338681	2	2	10
333881828	2	3	15
333966373	3	3	13
33511585	3	4	53
33612973	3	3	60
33617320	2	2	18
336463060	2	2	21
33794839	2	2	13
338017544	3	5	120
33806113	3	3	38
33868543	2	2	38
34242979	9	20	175
34416153	9	15	65
344966590	3	3	36
345569115	2	2	16
34805698	3	3	9
348851602	2	2	7
35012277	2	3	22
35012599	6	7	88
351092905	4	5	56
35166642	2	3	21
353767514	8	7	31
35432497	1	0	0
355823615	1	1	1
356897757	3	4	10
356963	11	17	154
35726059	3	3	34
358845982	2	2	3
35926608	6	22	144
359791673	6	11	74
360025190	4	6	55
360210947	3	3	29
364664695	2	3	37
36544954	2	2	8
36618690	1	1	2
36629388	1	1	10
368018677	1	1	6
36836787	3	4	28
36953510	1	0	0
37103386	3	5	35
37112942	2	3	10
37170886	4	7	110
37201612	3	4	5
372765570	2	2	28
374007416	11	18	127
37723441	3	4	37
377662213	4	4	8
37792861	2	2	10
378494343	2	3	8
37899473	2	2	15
37977732	10	19	79
37992666	3	4	84
38108292	3	3	57
381688396	2	3	12
382110320	1	1	5
384685422	5	5	18
384761809	2	2	24
38703025	3	3	29
38761811	2	2	154
39070445	4	4	28
39157827	3	3	55
39322973	3	3	30
396721965	2	2	9
39695043	2	3	9
397688944	1	1	5
398994309	2	3	109
40022380	1	1	20
400867704	2	3	11
402970625	3	3	18
40564708	1	1	5
40580577	2	3	25
40705032	1	0	0
407769660	4	8	128
40777046	3	3	18
40813518	2	2	8
40818894	1	1	4
40981798	2	2	11
414334713	4	7	46
41945050	3	4	17
42098834	3	3	27
423567032	2	2	32
42522911	1	1	1
4258591	2	2	44
42676302	3	4	18
428333	4	6	37
42912024	2	3	39
43003845	2	2	4
430313102	2	3	12
43194901	7	10	48
43540843	7	24	132
43858661	3	3	6
4387041	4	4	58
441252694	3	4	37
44130462	5	9	42
44257374	3	4	50
44394333	2	2	6
44524106	1	1	2
44666348	2	2	83
45145944	1	0	0
45310286	8	18	101
45333725	4	5	13
45690012	8	12	171
45753733	2	2	14
46160500	5	10	44
46533358	2	2	7
47359057	2	3	36
47673661	2	2	3
477094958	2	2	28
47854857	7	23	177
48132655	3	3	59
48436259	2	2	51
484991854	2	2	2
48730516	7	5	25
49098552	3	4	29
49253437	2	2	5
493138720	14	21	104
49414491	4	4	10
494538543	4	7	52
49536244	10	12	136
50145896	3	4	26
50189671	5	7	73
51694885	7	7	31
51775432	1	1	15
521489919	2	2	3
52330027	2	2	42
52405864	2	3	27
52442002	2	3	23
52498113	2	2	13
52772629	1	1	4
53235381	1	1	1
532617990	2	2	13
53685618	2	2	21
54107218	4	5	18
54168315	4	4	45
54178513	4	4	65
54226675	2	2	73
54331626	2	2	18
54460963	2	2	28
54695584	7	10	93
5471892	8	8	58
54791004	3	6	16
549089429	1	1	10
55019615	2	2	17
5506012	3	4	11
5539522	2	2	5
55928029	1	0	0
5747502	4	4	36
5773532	2	2	20
5774432	2	2	5
57828817	2	2	56
58427526	2	2	14
58525541	1	0	0
58641627	2	2	7
5868402	2	2	7
58930815	4	7	47
59359628	1	1	2
59588845	5	12	103
59676554	2	2	18
6018292	3	4	9
61086747	2	2	18
61158706	3	3	13
612473	10	18	122
61311054	8	12	135
613313	2	3	8
6165372	2	2	11
61781462	3	5	20
61890555	3	2	13
623623	2	2	20
6253282	2	3	20
62609430	1	1	1
62740714	2	2	10
62759402	2	3	25
6297852	4	4	5
62985251	2	2	8
629863	7	12	120
63084853	4	1	16
63207451	2	2	186
6351572	1	1	22
63787760	3	3	8
6408382	3	5	29
64253854	3	3	37
64441390	5	12	111
64496469	2	2	6
64508047	7	9	88
64619842	2	2	32
64931560	3	4	38
65185224	4	6	38
65357070	1	0	0
65360846	5	8	32
66100530	2	2	6
66136244	2	3	34
66185823	4	7	30
6650612	2	3	4
66761133	6	8	118
66804457	3	3	60
66841215	4	5	40
67378554	3	4	104
68179571	2	2	8
68257605	2	2	12
68480165	1	1	1
68732646	4	4	28
69049114	6	9	92
69193714	3	5	72
69548480	3	4	11
69624952	3	4	6
70123665	2	2	5
70160230	3	4	37
70492333	4	5	21
70620846	2	3	26
7098022	1	1	1
71091272	1	1	4
7144422	1	1	4
72339761	3	5	29
73024519	5	9	28
73298877	2	2	14
73443014	2	2	22
734493	1	0	0
73707412	2	2	28
73738774	5	9	45
742143	3	3	36
7424642	6	8	44
74264908	3	3	18
745823	12	25	197
75321229	2	2	5
75343905	4	5	12
75370828	5	8	140
759679	2	2	11
7668362	2	2	23
7670202	4	4	62
7682452	13	26	110
77404713	3	3	25
77843323	8	12	39
778446	10	17	151
779715	12	46	184
78138151	2	3	23
78391198	2	2	3
7861312	6	8	47
7875912	4	9	88
78813	2	3	33
7888452	9	29	170
7890392	2	1	6
789071	2	2	5
78944566	3	4	96
790205	1	1	5
79797834	12	26	144
80297299	6	6	55
80317145	2	2	24
80479756	1	1	7
80660928	7	7	56
80681990	9	17	86
80688804	4	4	8
8079892	1	1	58
809864	2	3	22
81938351	2	3	14
819800	10	28	105
82726142	4	4	28
83048001	3	4	15
83285096	1	1	6
83478370	1	1	2
83883736	3	3	67
84114921	3	4	26
84473837	5	6	82
85432934	2	3	35
85716069	5	6	20
86560711	2	1	2
86664924	1	0	0
86775971	1	1	1
86799233	2	2	4
87004822	5	10	87
87114066	6	12	116
87525002	2	3	25
8768832	1	1	3
87771546	2	2	7
87798068	2	2	24
88456842	3	6	117
88639412	4	4	125
88931752	7	11	100
89032548	2	2	12
8914942	2	2	21
89826562	2	2	27
90072587	2	2	4
90880254	2	2	5
90998968	3	3	31
91067832	3	4	40
9215692	3	5	57
9254272	1	1	7
926981	1	1	1
92715435	1	1	10
9298152	7	8	112
93006320	8	34	197
93787797	4	5	29
93906304	6	9	49
93998005	3	4	15
94147192	12	11	22
94480069	2	3	17
9460682	3	3	67
94915681	1	1	1
9524062	6	6	60
96483973	2	3	28
96545499	2	2	5
96843721	4	5	22
96907622	2	2	12
98345808	1	0	0
9855382	1	1	1
98633794	5	6	44
98801140	2	2	13
