file	Number Of Intersections	Number Of Zones
12771872	1	6
12771872	2	1
127912925	0	0
127912925	1	4
128135741	0	0
128135741	1	3
12831	0	0
12831	1	1
129093262	0	0
129093262	1	1
130734452	0	0
130734452	1	6
13179562	0	0
13179562	1	2
13212502	0	0
13212502	1	2
13212502	2	1
132519763	0	0
132519763	1	6
132519763	2	1
13274152	0	0
13274152	1	8
13274152	2	2
13274152	3	2
13275962	0	0
13275962	1	8
13275962	2	5
13275962	3	3
13275962	4	1
13317162	0	0
13317162	1	3
13317162	2	2
13317162	3	1
133663120	0	0
133663120	1	2
134208594	0	0
134208594	1	4
134208594	2	4
134208594	3	1
134208594	4	1
134208594	5	1
134208594	6	1
134208594	7	0
134208594	8	0
134208594	9	0
134208594	10	1
134208594	11	0
134208594	12	1
13460312	0	0
13460312	1	1
135397331	0	0
135397331	1	4
135605269	0	0
135605269	1	7
135605269	2	3
135704499	0	0
135704499	1	4
135704499	2	2
135704499	3	1
135895585	0	0
135895585	1	2
136341512	0	0
136341512	1	0
136341512	2	1
13649212	0	0
13649212	1	0
13649212	2	1
1367531	0	0
1367531	1	3
1367531	2	2
137046366	0	0
137046366	1	2
137046366	2	1
13747362	0	0
13747362	1	4
13747362	2	0
13747362	3	1
137527381	0	0
137527381	1	2
13809612	0	0
13809612	1	4
13809612	2	1
13811562	0	0
13811562	1	5
13837812	0	0
13837812	1	2
13872872	0	0
13872872	1	1
14045302	0	0
14045302	1	2
14058831	0	0
14058831	1	3
14060856	0	0
14060856	1	8
14060856	2	4
14077024	0	0
14077024	1	2
14077024	2	1
14077024	3	1
14120151	0	0
14120151	1	2
14120253	0	0
14120253	1	4
14129601	0	0
14129601	1	8
14129601	2	7
14129601	3	2
141341662	0	0
141341662	1	5
141341662	2	1
14134942	0	0
14134942	1	2
14147754	0	0
14147754	1	1
14147754	2	1
141488457	0	0
141488457	1	3
14150874	0	0
14150874	1	2
14191254	0	0
14191254	1	2
14191254	2	2
14191254	3	1
14199378	0	0
14199378	1	3
14199378	2	8
14199378	3	10
14199378	4	3
14199378	5	1
14199378	6	3
14203895	0	0
14203895	1	2
1422311	0	0
1422311	1	1
14256927	0	0
14256927	1	2
14313005	0	0
14313005	1	2
14313005	2	2
143172151	0	0
143172151	1	2
143172151	2	1
14327149	0	0
14327149	1	1
14332288	0	0
14332288	1	2
143344048	0	0
143344048	1	1
14353392	0	0
14353392	1	1
14353392	2	1
1435461	0	0
1435461	1	0
1435461	2	1
14365883	0	0
14365883	1	2
14365883	2	1
143661263	0	0
143661263	1	2
143661263	2	1
14371740	0	0
14371740	1	3
14372486	0	0
14372486	1	6
14372486	2	2
14372486	3	1
14372763	0	0
14372763	1	2
14404235	0	0
14404235	1	2
144211337	0	0
144211337	1	2
144211337	2	1
14422788	0	0
14422788	1	3
14422788	2	1
14426892	0	0
14426892	1	3
14426892	2	1
14505838	0	0
14505838	1	0
14505838	2	1
14521330	0	0
14521330	1	1
14528221	0	0
14528221	1	5
14528221	2	5
14528221	3	1
14550962	0	0
14550962	1	2
14555534	0	0
14555534	1	4
145573135	0	0
145573135	1	3
145573135	2	1
14618160	0	0
14618160	1	3
14630490	0	0
14630490	1	1
14677919	0	0
14677919	1	3
14677919	2	1
14711172	0	0
14719129	0	0
14719129	1	4
14755105	0	0
14755105	1	2
14755105	2	1
14791232	0	0
14791232	1	2
14791232	2	2
14791232	3	0
14791232	4	1
14794851	0	0
14794851	1	2
14807093	0	0
14807093	1	1
14827526	0	0
14827526	1	1
14836915	0	0
14836915	1	5
14836915	2	3
14838506	0	0
14838506	1	3
14840869	0	0
14840869	1	5
14843763	0	0
14843763	1	2
14843763	2	1
14848513	0	0
14848513	1	2
14848513	2	1
14848513	3	1
14849487	0	0
148519842	0	0
148519842	1	1
14869783	0	0
14869783	1	1
14869783	2	2
14869783	3	1
14893314	0	0
14893314	1	2
14917050	0	0
14917050	1	2
14922225	0	0
14922225	1	6
14936377	0	0
14936377	1	3
14936377	2	1
14957252	0	0
14957252	1	5
14957252	2	4
14957252	3	1
14984096	0	0
14984096	1	7
14984096	2	6
14984096	3	3
15001424	0	0
15001424	1	2
15012486	0	0
15012486	1	9
15012486	2	7
150402542	0	0
150402542	1	1
15053535	0	0
15053535	1	3
15070932	0	0
15070932	1	2
15070932	2	1
15099384	0	0
15099384	1	3
151175266	0	0
151175266	1	3
151175266	2	3
151175266	3	1
151246522	0	0
151246522	1	1
151246522	2	1
15129912	0	0
15129912	1	3
15129912	2	3
15129912	3	1
151495845	0	0
151495845	1	3
15164892	0	0
15164892	1	2
152062126	0	0
152062126	1	3
152062126	2	1
15208246	0	0
15208246	1	3
15208246	2	1
152388029	0	0
152388029	1	1
152388029	2	2
152388029	3	1
152435436	0	0
152435436	1	5
152435436	2	1
15292446	0	0
15292446	1	3
15292446	2	2
15292446	3	1
153245741	0	0
153245741	1	3
153245741	2	1
15329577	0	0
15329577	1	2
15331855	0	0
15331855	1	2
15335809	0	0
15335809	1	3
15335809	2	3
15335809	3	2
15335809	4	1
15347317	0	0
15347317	1	4
15347317	2	1
15419775	0	0
15419775	1	3
15420650	0	0
15420650	1	2
15445811	0	0
154648125	0	0
154648125	1	2
154701532	0	0
154701532	1	2
154701532	2	1
15473958	0	0
15473958	1	2
15473958	2	1
15477120	0	0
15477120	1	3
15477120	2	1
15481789	0	0
15481789	1	4
1548841	0	0
1548841	1	4
1548841	2	3
1548841	3	1
15507297	0	0
15507297	1	2
15527013	0	0
15527013	1	2
15533771	0	0
15533771	1	2
15533771	2	1
155689319	0	0
155689319	1	1
15589323	0	0
15589323	1	2
155976326	0	0
155976326	1	3
155976326	2	1
15642031	0	0
15642031	1	2
15647676	0	0
15647676	1	3
15647676	2	3
15647676	3	1
15665127	0	0
15665127	1	1
15706128	0	0
15706128	1	3
15741636	0	0
15741636	1	2
15741636	2	2
157488488	0	0
157488488	1	1
15797184	0	0
15797184	1	4
15797184	2	1
158414847	0	0
158414847	1	3
158419434	0	0
158419434	1	1
15849055	0	0
15849055	1	3
15849055	2	1
15859268	0	0
15859268	1	2
15864197	0	0
15864197	1	5
15864197	2	4
158874150	0	0
158874150	1	1
158874150	2	1
15924858	0	0
15938936	0	0
15938936	1	2
15944663	0	0
15944663	1	4
15947217	0	0
15947217	1	3
159588456	0	0
159588456	1	4
159588456	2	1
159629146	0	0
159629146	1	2
159629146	2	2
159629146	3	1
15977848	0	0
15977848	1	2
15989218	0	0
15989218	1	2
160237722	0	0
160237722	1	0
160237722	2	0
160237722	3	1
160237722	4	1
160237722	5	0
160237722	6	0
160237722	7	0
160237722	8	0
160237722	9	0
160237722	10	0
160237722	11	0
160237722	12	0
160237722	13	0
160237722	14	1
16027078	0	0
16027078	1	2
16027078	2	1
160839015	0	0
160839015	1	3
160839015	2	3
160839015	3	2
1608991	0	0
1608991	1	6
1608991	2	5
1608991	3	5
1608991	4	1
16105942	0	0
16105942	1	3
16105942	2	1
16183380	0	0
16183380	1	11
16183380	2	8
16193542	0	0
16193542	1	1
16212913	0	0
16212913	1	2
16212913	2	1
16234125	0	0
16234125	1	2
16234125	2	1
16247469	0	0
16247469	1	2
16263665	0	0
16263665	1	1
16279105	0	0
16279105	1	4
16285517	0	0
16285517	1	2
16285517	2	1
16297193	0	0
16297193	1	3
16305227	0	0
16305227	1	3
16305227	2	1
163374693	0	0
163374693	1	2
163491360	0	0
163491360	1	3
163629705	0	0
163629705	1	9
163629705	2	5
163629705	3	1
163674521	0	0
163674521	1	5
163674521	2	3
163674521	3	1
16421962	0	0
16421962	1	13
16437633	0	0
16465113	0	0
16476088	0	0
16476088	1	2
16505296	0	0
16505296	1	2
165580617	0	0
165580617	1	2
165580617	2	1
165786567	0	0
165786567	1	4
16591188	0	0
16591188	1	3
16591188	2	1
16606585	0	0
16606585	1	2
16610683	0	0
16610683	1	3
16610683	2	1
16613128	0	0
16616109	0	0
16616109	1	1
166252256	0	0
166252256	1	2
166252256	2	1
16652550	0	0
16652550	1	5
16652550	2	5
16652550	3	1
16674149	0	0
16674149	1	2
16685316	0	0
16685316	1	2
16726878	0	0
16726878	1	1
16734718	0	0
16734718	1	3
16734718	2	2
16734718	3	1
16790036	0	0
16790036	1	4
167901620	0	0
167901620	1	1
16824073	0	0
16834201	0	0
16834201	1	7
16834201	2	4
16840742	0	0
168537920	0	0
168537920	1	3
16869298	0	0
16869298	1	2
16869298	2	1
16878507	0	0
16878507	1	3
16878507	2	1
169216507	0	0
169216507	1	3
169216507	2	2
169216507	3	1
169780164	0	0
169780164	1	4
169780164	2	2
16987303	0	0
16987303	1	2
16987303	2	2
170167167	0	0
170167167	1	2
17022544	0	0
17022544	1	2
17022544	2	1
17045060	0	0
17045060	1	3
17045060	2	2
170729553	0	0
170729553	1	6
170729553	2	3
17111909	0	0
17111909	1	2
17111909	2	1
171202083	0	0
171202083	1	2
171202083	2	1
17135931	0	0
17135931	1	2
17135931	2	1
17137927	0	0
17137927	1	3
17384099	0	0
17384099	1	1
17396702	0	0
17396702	1	2
17396702	2	1
17403755	0	0
17403755	1	4
17421011	0	0
17421011	1	1
17421011	2	1
174285878	0	0
174285878	1	12
174285878	2	10
174285878	3	5
174285878	4	3
174285878	5	2
17503591	0	0
17503591	1	4
17503591	2	3
175529494	0	0
175529494	1	1
17561785	0	0
17561785	1	5
17561785	2	5
17561785	3	1
17600223	0	0
17600223	1	3
17600223	2	1
17602896	0	0
17602896	1	2
17627996	0	0
17627996	1	3
176310143	0	0
176310143	1	4
176310143	2	7
176310143	3	5
176310143	4	4
176310143	5	1
17636894	0	0
17636894	1	3
17636894	2	1
17636894	3	2
17636894	4	1
17658786	0	0
17658786	1	6
17658786	2	2
176589903	0	0
176589903	1	2
176589903	2	1
176872879	0	0
176872879	1	3
176936249	0	0
176936249	1	1
17714569	0	0
17714569	1	6
17714569	2	3
17723880	0	0
17723880	1	3
1775731	0	0
1775731	1	3
17767841	0	0
17767841	1	6
17767841	2	2
17770689	0	0
17770689	1	8
17770689	2	3
17770689	3	0
17770689	4	0
17770689	5	0
17770689	6	0
17770689	7	0
17770689	8	1
17787399	0	0
17787399	1	2
17797990	0	0
17797990	1	1
17822419	0	0
17822419	1	1
17866414	0	0
17866414	1	2
17866414	2	1
17874544	0	0
17874544	1	2
179065820	0	0
179065820	1	2
179065820	2	1
179065820	3	1
17912917	0	0
17912917	1	2
17918629	0	0
17918629	1	2
17918629	2	1
17922109	0	0
17922109	1	3
18068719	0	0
18068719	1	2
18069824	0	0
18069824	1	1
18069824	2	1
18119683	0	0
18119683	1	3
18119683	2	1
18135029	0	0
18135029	1	1
18191231	0	0
18191231	1	2
18201401	0	0
18201401	1	2
18226205	0	0
18226205	1	3
18226205	2	1
18252740	0	0
18252740	1	4
18252740	2	3
18252740	3	1
182609394	0	0
182609394	1	2
18270489	0	0
18270489	1	11
18270489	2	15
18270489	3	5
18270489	4	2
18278524	0	0
18278524	1	2
18278524	2	1
18338485	0	0
18338485	1	1
18374320	0	0
18374320	1	2
183786731	0	0
183786731	1	2
183786731	2	1
184391654	0	0
184391654	1	2
184391654	2	1
184594566	0	0
184594566	1	3
184594566	2	3
184594566	3	1
18470775	0	0
18470775	1	3
18470775	2	1
18470775	3	1
18472735	0	0
18472735	1	6
18472735	2	3
184755890	0	0
184755890	1	2
18481292	0	0
18481292	1	1
18483115	0	0
18483115	1	2
18486243	0	0
18486243	1	4
18486881	0	0
18486881	1	6
18486881	2	4
18496986	0	0
18496986	1	3
18534908	0	0
18534908	1	5
18534908	2	5
18534908	3	2
185512077	0	0
185512077	1	2
185512077	2	1
18558612	0	0
18558612	1	1
18571832	0	0
18571832	1	2
18594420	0	0
18594420	1	5
18630326	0	0
18630326	1	6
18630326	2	5
18630326	3	2
186354564	0	0
186354564	1	3
186354564	2	3
18665800	0	0
18665800	1	6
18665800	2	3
18665800	3	2
18681592	0	0
18681592	1	1
18687625	0	0
18687625	1	5
18687625	2	4
18687625	3	1
18690700	0	0
18690700	1	2
18718580	0	0
18718580	1	2
18731347	0	0
18731347	1	1
18734310	0	0
18734310	1	6
187744415	0	0
187744415	1	8
187744415	2	6
187744415	3	8
187744415	4	1
187773078	0	0
187773078	1	0
187773078	2	0
187773078	3	0
187773078	4	1
187773078	5	1
187773078	6	2
187773078	7	0
187773078	8	0
187773078	9	1
187773078	10	1
18788502	0	0
18788502	1	9
18788502	2	6
18836167	0	0
18836167	1	3
18836167	2	1
18846990	0	0
18846990	1	2
18886852	0	0
18886852	1	4
18895362	0	0
18895362	1	5
18895362	2	2
18895362	3	2
189111957	0	0
189111957	1	2
18917716	0	0
18917716	1	1
18923866	0	0
18923866	1	2
18923866	2	1
189253902	0	0
189253902	1	3
189253902	2	4
18951737	0	0
18951737	1	11
18957524	0	0
18957524	1	4
18957524	2	12
189592841	0	0
189592841	1	3
189592841	2	1
189592841	3	1
189592841	4	3
189592841	5	1
189592841	6	2
189592841	7	0
189592841	8	1
189875309	0	0
189875309	1	0
189875309	2	1
189875309	3	0
189875309	4	0
189875309	5	0
189875309	6	1
18988524	0	0
18988524	1	7
18996905	0	0
18996905	1	2
190138306	0	0
190138306	1	4
19064433	0	0
19064433	1	6
19064433	2	2
190696559	0	0
190696559	1	4
190696559	2	5
190696559	3	3
190696559	4	1
19110632	0	0
19110632	1	2
19136295	0	0
19136295	1	3
191896931	0	0
191896931	1	3
191916463	0	0
191916463	1	6
191916463	2	6
191924526	0	0
191924526	1	2
19208450	0	0
19208450	1	2
19213083	0	0
19213083	1	1
19213083	2	1
19213083	3	1
19225156	0	0
19225156	1	1
19283723	0	0
19283723	1	2
19299909	0	0
19299909	1	2
19380307	0	0
19380307	1	3
19380307	2	1
19454519	0	0
19492215	0	0
19492215	1	7
19492215	2	1
19563357	0	0
19563357	1	3
19658936	0	0
19658936	1	6
19658936	2	1
19668026	0	0
19668026	1	4
19668026	2	1
19668026	3	0
19668026	4	0
19668026	5	0
19668026	6	0
19668026	7	1
196926575	0	0
196926575	1	5
19725644	0	0
19725644	1	6
197577781	0	0
197577781	1	1
197602850	0	0
197602850	1	2
19760380	0	0
19760380	1	1
197731654	0	0
197731654	1	2
197903282	0	0
197903282	1	4
197903282	2	2
197903282	3	1
198327282	0	0
198327282	1	3
198327282	2	2
198327282	3	1
198327282	4	0
198327282	5	1
198327282	6	2
198327282	7	2
198370650	0	0
198370650	1	3
198370650	2	2
198370650	3	1
198628427	0	0
198628427	1	4
198628427	2	1
198941747	0	0
198941747	1	4
198941747	2	3
199039532	0	0
199039532	1	4
19933035	0	0
19933035	1	3
19948202	0	0
19948202	1	3
199483163	0	0
199483163	1	2
199483163	2	2
19976791	0	0
19976791	1	2
200214366	0	0
200214366	1	8
200214366	2	11
200214366	3	10
200214366	4	4
200214366	5	4
200214366	6	1
200214366	7	1
200214366	8	0
200214366	9	0
200214366	10	0
200214366	11	0
200214366	12	1
200494218	0	0
200494218	1	2
200494218	2	1
20060293	0	0
20060293	1	2
20060293	2	1
20119746	0	0
20119746	1	1
20179628	0	0
202114894	0	0
202114894	1	2
202114894	2	3
202114894	3	1
202114894	4	1
202114894	5	1
202195505	0	0
202195505	1	0
202195505	2	0
202195505	3	0
202195505	4	0
202195505	5	0
202195505	6	1
202195505	7	0
202195505	8	0
202195505	9	0
202195505	10	1
202346485	0	0
202346485	1	2
202346485	2	1
2029971	0	0
2029971	1	7
2029971	2	1
20319646	0	0
20319646	1	2
20347014	0	0
20347014	1	4
20347014	2	1
203868162	0	0
203868162	1	2
203868162	2	3
203868162	3	1
204145356	0	0
204145356	1	5
204145356	2	4
20436059	0	0
20436059	1	7
20436059	2	4
20436059	3	1
20446839	0	0
20446839	1	2
204646586	0	0
204646586	1	2
20495756	0	0
20495756	1	2
20561154	0	0
20561154	1	2
20561154	2	2
20689206	0	0
20689206	1	2
20689206	2	4
20689206	3	2
206923844	0	0
206923844	1	1
206923844	2	1
206923844	3	1
20758393	0	0
20758393	1	2
20758393	2	1
207594668	0	0
207594668	1	1
207936757	0	0
207936757	1	2
20950208	0	0
20950208	1	3
20999409	0	0
20999409	1	2
20999409	2	1
20999409	3	1
21028234	0	0
21028234	1	7
21028234	2	3
21061498	0	0
21061498	1	2
21061498	2	1
21077642	0	0
21077642	1	1
21094279	0	0
21094279	1	2
21132431	0	0
21132431	1	10
21132431	2	1
211547273	0	0
211547273	1	2
211547273	2	1
211933541	0	0
211933541	1	4
211933541	2	3
211933541	3	1
21222922	0	0
21222922	1	3
21222922	2	3
21222922	3	2
212642904	0	0
212642904	1	3
212642904	2	1
212642904	3	1
212718048	0	0
21318259	0	0
21318259	1	2
21337501	0	0
21337501	1	1
21339164	0	0
21339164	1	3
21339164	2	3
21363077	0	0
21363077	1	5
21363077	2	1
21364753	0	0
21364753	1	2
21364753	2	1
21391704	0	0
21391704	1	2
21415375	0	0
21415375	1	2
21420959	0	0
21420959	1	2
21437537	0	0
21437537	1	3
215328630	0	0
21578499	0	0
21578499	1	9
21578499	2	7
21578499	3	1
215824411	0	0
215824411	1	1
21648994	0	0
21648994	1	4
21648994	2	1
21731779	0	0
21731779	1	5
21735280	0	0
21735280	1	1
217796457	0	0
217796457	1	1
21816783	0	0
21816783	1	2
219365298	0	0
219365298	1	3
219365298	2	2
22106463	0	0
22106463	1	9
22106463	2	8
22106463	3	3
22106463	4	1
22121627	0	0
22121627	1	7
22121627	2	2
22121627	3	1
222090651	0	0
222090651	1	2
22252971	0	0
22252971	1	4
224581852	0	0
225302763	0	0
225302763	1	1
225302763	2	1
2257971	0	0
2257971	1	2
22745706	0	0
22745706	1	4
22745706	2	2
22751884	0	0
22751884	1	6
227650565	0	0
227650565	1	1
227650565	2	0
227650565	3	0
227650565	4	0
227650565	5	1
227785045	0	0
227785045	1	2
227785045	2	1
227785045	3	1
227785045	4	1
227785045	5	0
227785045	6	0
227785045	7	1
227785045	8	2
227785045	9	1
227785045	10	1
228270980	0	0
228270980	1	4
228270980	2	1
22863638	0	0
22863638	1	5
22863638	2	6
22863638	3	4
22879382	0	0
22879382	1	2
22879382	2	1
22915745	0	0
22915745	1	2
22915745	2	1
229425177	0	0
229425177	1	1
229425177	2	1
22958268	0	0
22958268	1	2
22970486	0	0
22970486	1	4
22977196	0	0
22977196	1	1
229969377	0	0
229969377	1	2
230880104	0	0
230880104	1	4
230880104	2	5
230880104	3	2
230880104	4	1
232006900	0	0
232006900	1	4
232006900	2	3
232006900	3	3
232706326	0	0
232706326	1	3
232706326	2	1
23334169	0	0
23334169	1	2
234169190	0	0
234169190	1	4
234169190	2	3
234169190	3	3
23469247	0	0
23469247	1	2
23503181	0	0
23503181	1	2
23503181	2	1
235219400	0	0
235219400	1	3
235219400	2	2
235219400	3	1
2363991	0	0
2363991	1	9
2363991	2	3
2363991	3	1
237019614	0	0
237019614	1	3
237049769	0	0
237049769	1	4
237049769	2	1
23742633	0	0
23742633	1	2
23759573	0	0
23759573	1	3
23790454	0	0
23790454	1	7
23790454	2	1
238264600	0	0
238264600	1	4
238264600	2	2
23889102	0	0
23889102	1	2
239141315	0	0
239141315	1	11
239141315	2	8
239141315	3	1
239434259	0	0
239434259	1	3
240740059	0	0
240740059	1	2
24117694	0	0
24117694	1	1
241635675	0	0
241635675	1	2
242013901	0	0
242013901	1	1
242013901	2	1
242024994	0	0
242024994	1	2
242024994	2	1
242073660	0	0
242479442	0	0
242479442	1	4
242479442	2	6
242479442	3	5
242479442	4	3
242479442	5	1
243267948	0	0
243267948	1	3
243267948	2	2
243267948	3	1
24479656	0	0
24479656	1	3
24479656	2	2
24541192	0	0
24541192	1	2
24541192	2	1
24542441	0	0
24542441	1	2
245639401	0	0
245639401	1	2
245639401	2	1
24636631	0	0
24636631	1	9
24636631	2	6
248224845	0	0
248224845	1	2
248224845	2	0
248224845	3	0
248224845	4	0
248224845	5	1
248224845	6	2
248224845	7	1
248224845	8	1
248523038	0	0
248523038	1	1
248883350	0	0
248883350	1	2
248916246	0	0
248916246	1	4
248916246	2	2
24903302	0	0
24903302	1	2
24907197	0	0
24907197	1	5
249829509	0	0
249829509	1	1
249829509	2	1
249831237	0	0
249831237	1	2
250340951	0	0
250340951	1	2
250447400	0	0
250447400	1	1
250900294	0	0
250900294	1	4
25179170	0	0
25179170	1	3
252415267	0	0
252415267	1	2
253360762	0	0
253360762	1	3
25344777	0	0
25344777	1	6
253751053	0	0
253751053	1	3
253751053	2	1
253751053	3	3
253863144	0	0
253863144	1	1
254883790	0	0
254883790	1	3
255790981	0	0
255790981	1	6
255790981	2	3
25649234	0	0
25649234	1	3
25649234	2	3
256497288	0	0
256497288	1	2
256497288	2	3
25650268	0	0
25650268	1	2
25755158	0	0
25755158	1	2
25755158	2	1
2576401	0	0
2576401	1	1
258145892	0	0
258145892	1	1
258447233	0	0
258447233	1	2
2589521	0	0
2589521	1	3
2589521	2	2
2589521	3	1
258955239	0	0
259288589	0	0
259288589	1	2
259288589	2	1
259365099	0	0
259884200	0	0
259884200	1	4
259884200	2	3
259884200	3	1
26083291	0	0
26083291	1	2
26103051	0	0
26103051	1	2
261973875	0	0
261973875	1	2
262310943	0	0
262310943	1	1
26234692	0	0
26234692	1	2
26286713	0	0
26286713	1	1
263224927	0	0
263224927	1	2
26335321	0	0
26335321	1	1
26335321	2	1
26346966	0	0
26346966	1	3
26346966	2	2
26346966	3	1
265077741	0	0
265077741	1	5
265077741	2	2
26585095	0	0
26585095	1	6
26585095	2	2
26585095	3	2
26585095	4	5
26604704	0	0
26604704	1	1
266464616	0	0
266464616	1	2
266464616	2	1
267383914	0	0
268425888	0	0
268425888	1	1
269485905	0	0
269485905	1	8
269485905	2	4
269559495	0	0
269559495	1	3
269559495	2	1
26961048	0	0
26961048	1	2
275686563	0	0
275686563	1	1
275686563	2	1
27595997	0	0
27595997	1	2
276128869	0	0
276128869	1	3
276128869	2	1
276843589	0	0
276843589	1	1
278311152	0	0
278311152	1	2
278311152	2	1
27853708	0	0
27853708	1	5
27853708	2	2
27853708	3	1
279854450	0	0
279854450	1	2
28205087	0	0
28205087	1	1
28205087	2	1
283732062	0	0
283732062	1	2
283732062	2	5
283732062	3	6
2841151	0	0
2841151	1	8
2841151	2	4
28490110	0	0
28490110	1	9
28490110	2	6
28490110	3	2
28490110	4	2
28490110	5	1
285287229	0	0
285287229	1	0
285287229	2	0
285287229	3	1
285287229	4	1
285287229	5	0
285287229	6	1
285287229	7	1
285287229	8	1
28628055	0	0
28628055	1	2
28628055	2	1
287519521	0	0
287519521	1	3
287519521	2	2
287519521	3	5
287519521	4	4
2890961	0	0
2890961	1	2
2890961	2	1
2890961	3	1
289738351	0	0
289738351	1	6
290092792	0	0
290092792	1	1
290092792	2	0
290092792	3	0
290092792	4	1
290092792	5	1
29016037	0	0
29016037	1	4
29016037	2	1
29034979	0	0
29034979	1	2
29034979	2	1
291403100	0	0
291403100	1	2
291403100	2	1
292560337	0	0
292560337	1	1
29357507	0	0
29357507	1	5
29514951	0	0
29514951	1	5
29514951	2	10
29514951	3	1
296218728	0	0
296218728	1	2
296218728	2	1
297985585	0	0
297985585	1	2
298038575	0	0
298038575	1	2
298038575	2	2
298038575	3	1
30031265	0	0
30031265	1	7
30031265	2	6
300842571	0	0
300842571	1	4
300842571	2	2
300842571	3	1
30096240	0	0
30096240	1	1
301297627	0	0
301297627	1	0
301297627	2	0
301297627	3	0
301297627	4	2
301297627	5	1
30207757	0	0
30207757	1	4
30207757	2	2
30207757	3	4
30207757	4	2
30207757	5	1
30207757	6	1
30310904	0	0
30310904	1	2
30310904	2	1
30313925	0	0
30313925	1	3
30313925	2	3
30313925	3	1
30345417	0	0
30345417	1	3
303886358	0	0
303886358	1	2
30393917	0	0
30393917	1	2
30393917	2	1
306445007	0	0
306445007	1	2
307478701	0	0
308220010	0	0
308220010	1	2
308220010	2	1
30824363	0	0
30824363	1	1
309096216	0	0
309096216	1	2
309096216	2	1
30970675	0	0
30970675	1	5
30970675	2	3
311227912	0	0
31153819	0	0
31153819	1	8
31153819	2	2
31179985	0	0
31179985	1	3
31179985	2	1
312284236	0	0
312284236	1	3
31246395	0	0
31246395	1	4
312805417	0	0
312805417	1	0
312805417	2	0
312805417	3	0
312805417	4	1
31313454	0	0
31313454	1	2
31317273	0	0
31317273	1	3
313359626	0	0
314038032	0	0
314038032	1	4
314316607	0	0
314316607	1	3
314316607	2	1
314316607	3	1
31457243	0	0
31457243	1	3
31464977	0	0
31464977	1	1
31477674	0	0
31477674	1	1
315418321	0	0
315418321	1	1
31610343	0	0
31610343	1	7
31610343	2	9
31610343	3	3
31610343	4	2
31610343	5	2
31631020	0	0
31631020	1	4
31631020	2	2
317313520	0	0
317313520	1	3
318760490	0	0
318760490	1	2
318760490	2	1
31949053	0	0
31949053	1	4
31949053	2	2
320527944	0	0
320527944	1	2
320527944	2	1
321620987	0	0
321620987	1	2
